Mass (in gms),frame_num
0.0024924810273472668,16
0.007203010729586574,24
0.013577313569096793,39
0.017431182906006152,179
0.024978525071940302,197
0.033489493828288225,264
0.04336422489110814,296
0.05549285239365372,306
0.06520442601775893,308
0.07686526477569432,346
0.0817038979056419,392
0.08427064999579484,438
0.09330914278337855,438
0.10707956440119173,456
0.12100517662017592,470
0.12406900233013861,472
0.13880732730719503,476
0.1548857056616642,527
0.16965572546553995,599
0.186724216693508,617
0.20331100236740002,646
0.20662959753380183,669
0.21406530518840405,696
0.2171206243759562,712
0.23534642235784603,760
0.24851156412337413,817
0.2674340821281708,841
0.28382405039574315,874
0.3009393417752391,910
0.3137121519561304,930
0.32987960594178073,934
0.33451132621938706,935
0.34430481663965556,944
0.3472251769241715,955
0.36967367992624073,960
0.37505781708259184,989
